,kWp,location,water_body_type,panel_number,panel_type,covers_pct,covers_panels,covers_total,max_depth,level_variation,interconnection_date,construction_duration
ORLANDO UTILITIES-32 kWp,32,"Orlando, the U.S.A.",an irrigation reservoir,100,315 Wp RENESOLA modules,2.9,0.44,1.22,3.0,0.45,2017-02-01 00:00:00,
MIRAFLORES-24 kWp,24," the Panama Canal, in Panama.",a water retention pond,96,250 Wp TRINA modules,0.2,0.03,14.4,,,2017-02-01 00:00:00,
GOJIGA-IKE - 572 kWp,572,"Hyogo prefecture, Japan.",an irrigation pond,2200,260 Wp JINKO modules,28.0,0.64,2.32,2.4,2.4,2017-01-01 00:00:00,
SAKURAKAMI-IKE - 1992 kWp,1992,"Hyogo prefecture, Japan.",an irrigation reservoir,7810,255 Wp YINGLI modules,35.0,2.49,7.04,8.4,8.4,2016-12-01 00:00:00,
ALTO RABAGAO-218 kWp,218,"Montalegre, Portugal.",a hydroelectric dam,840,260 Wp REC modules,0.01,0.26,2212.0,90.0,30.0,2016-11-01 00:00:00,
Ulu Sepri-270 kWp,270,Malaysia.,an irrigation reservoir,900,300 Wp BLUESUN modules,1.5,0.27,17.94,45.6,17.5,2016-11-01 00:00:00,
ISAWA-IKE - 632 kWp,632,"Tokushima prefecture, Japan",an irrigation pond,2340,270 Wp KYOCERA modules,57.0,0.68,1.19,6.0,6.0,2016-10-01 00:00:00,
Hirono Shin-Ike - 1751 kWp,1751,"Hyogo prefecture, Japan.",an irrigation reservoir,7005,250 Wp SHARP modules,54.0,1.92,3.53,7.8,5.1,2016-09-01 00:00:00,
TSUGA-IKE - 2449 kWp,2449,"Susuka city, Mie prefecture, Japan",an irrigation reservoir,9072,270 Wp KYOCERA modules,27.0,2.48,9.21,7.2,7.2,2016-07-01 00:00:00,56.0
KOBE OIKE-1212 kWp,1212,"Kobe city, Hyogo prefecture, Kansai, Japan",an irrigation reservoir,4752,255 Wp YINGLI modules,15.0,1.29,8.44,5.6,3.0,2016-05-01 00:00:00,56.0
GONO-IKE - 1203 kWp,1203,"Kobe city, Hyogo prefecture, Kansai, Japan",an irrigation reservoir,4716,255 Wp YINGLI modules,32.0,1.28,3.99,5.6,3.0,2016-05-01 00:00:00,56.0
RENGEJI-300 kWp,300,"Fukuoka city, Fukuoka prefecture, Kansai, Japan",an water storage pond,200,250 Wp ZNShine Solar modules,44.0,0.35,0.79,5.3,5.3,2016-07-01 00:00:00,42.0
PARK FARM-100 kWp,100,"Wrentham village, Suffolk, UK.",an irrigation pond,400,250 Wp REC modules,2.53,0.11,4.34,4.3,4.3,2015-12-01 00:00:00,14.0
KEENS FARM-100 kWp,100,"Covehithe village, Suffolk, UK.",an irrigation pond,400,250 Wp REC modules,6.32,0.11,1.74,7.9,7.9,2015-12-01 00:00:00,14.0
WOODLANE-100 kWp,100,"Benacre village,  Suffolk, UK.",an irrigation pond,400,250 Wp REC modules,1.58,0.11,6.97,5.5,5.5,2015-12-01 00:00:00,14.0
PONTECORVO-343 kWp,20,"Sant’Ermete, Province of Savona, Italy.",an irrigation pond,1320,260 Wp PEIMAR modules,43.18,0.38,0.88,5.5,5.5,2016-03-01 00:00:00,63.0
SUNGAI LABU-108 kWp,108,"Sepang city, Selango, Malaysia.",a water treatment pond,432,250 Wp ET SOLAR modules,3.57,0.15,4.2,27.0,20.0,2015-11-01 00:00:00,7.0
SOHARA-IKE - 2398 kWp,60,"Matsusaka city, Mie prefecture, Chubu, Japan.",an irrigation pond,8880,270 Wp MITSUBISHI modules,68.89,2.48,3.6,1.8,1.8,2016-03-01 00:00:00,140.0
NAGA-IKE NISHI - 1078 kWp,1078,"Fukuzaki district, Hyogo prefecture, Kansai, Japan.",an irrigation pond,4312,250 Wp SHARP modules,18.95,1.19,6.28,4.8,4.8,2016-03-01 00:00:00,105.0
SAKURASHITA-IKE - 809 kWp,50,"Fukuzaki district, Hyogo prefecture, Kansai, Japan.",an irrigation pond,3234,250 Wp SHARP modules,28.13,0.92,3.27,4.4,4.4,2016-02-01 00:00:00,77.0
KAWARAYAMA-IKE - 1428 kWp,1428," Inami town, Hyogo prefecture, Kansai, Japan.",an irrigation pond,5712,250 Wp SHARP modules,23.11,1.59,6.88,6.4,6.4,2015-12-01 00:00:00,84.0
